CRN,CODE,TITLE,CR,DATE,DAYS,TIME,COST
14396,ENGL206M,Professional Communication (P),3,8/28-12/15,M,2-4:30pm,$678
17821,ENGL207M,Introduction to Literary Analysis (P),3,8/28-12/15,R,2-4:30pm,$678
18103,ENGL208M,Modern World Poetry: A Conversation Across Cultures (P),3,8/28-12/15,F,11am-1:30pm,$678
13985,ENGL213M,Creative Writing (P),3,9/25-12/15,,Online,$678
13986,ENGL213M,Creative Writing (P),3,8/28-12/15,T,2-4:30pm,$678
13987,ENGL214M,Creative Non-Fiction (P),3,8/28-10/21,,Online,$678
13988,ENGL214M,Creative Non-Fiction (P),3,10/23-12/15,M W,11am-1:30pm,$678
17071,ENGL220M,College Composition II (P),4,8/28-12/15,,Online,$904
17072,ENGL220M,College Composition II (P),4,8/28-12/15,T,2-5:20pm,$904
17073,ENGL220M,College Composition II (P),4,8/28-12/15,M,8-11:20am,$904
17074,ENGL220M,College Composition II (P),4,8/28-12/15,F,8-11:20am,$904
17075,ENGL220M,College Composition II (P),4,8/28-12/15,T,11am-2:20pm,$904
17076,ENGL220M,College Composition II (P),4,8/28-12/15,M,5-8:20pm,$904
17077,ENGL220M,College Composition II (P),4,8/28-12/15,,Online,$904
17822,ENGL223M,British Literature I (P),3,8/28-12/15,,Online,$678
18104,ENGL228M,Satirical Literature (P),3,8/28-12/15,W,5-7:30pm,$678
13993,ENGL235M,American Literature II (P),3,8/28-12/15,W,2-4:30pm,$678
14461,ENVS115M,Current Issues in Environment (P),3,8/28-12/15,,Online,$678
17832,ENVS125M,Introduction to Environmental Science (P),4,8/28-12/15,T R,11am-1:30pm,"$1,014"
